Date,BN,STV,TS,AL,ADD
01/06/2023,Market,1500,18920,150,2000
02/06/2023,Market,1500,11600,100,1500
03/06/2023,Market,1500,11600,150,
04/06/2023,Market,1500,20940,200,
05/06/2023,Market,1500,19270,200,500
06/06/2023,Market,1500,9020,150,650
07/06/2023,Market,1500,9350,200,4210
08/06/2023,Market,1500,13740,150,200
09/06/2023,Market,1500,10410,200,500
10/06/2023,Market,1500,23420,100,
11/06/2023,Market,1500,19550,200,
12/06/2023,Market,1500,13100,150,
13/06/2023,Market,1500,12420,150,
14/06/2023,Market,1500,15070,100,
15/06/2023,Market,1500,11890,200,2500
16/06/2023,Market,1500,12940,200,
17/06/2023,Market,1500,12080,200,
18/06/2023,Market,1500,20390,150,
19/06/2023,Market,1500,12920,150,
20/06/2023,Market,1500,10680,100,
21/06/2023,Market,1500,8000,200,1500
22/06/2023,Market,1500,8170,200,
23/06/2023,Market,1500,12040,100,
24/06/2023,Market,1500,15050,200,
25/06/2023,Market,1500,18750,200,
26/06/2023,Market,1500,13080,100,
27/06/2023,Market,1500,8910,250,5000
28/06/2023,Market,1500,11180,100,
29/06/2023,Market,1500,5240,200,1200
30/06/2023,Market,1500,21980,150,
01/06/2023,New Place Market,1500,54940,150,6299
02/06/2023,New Place Market,1500,55050,100,
03/06/2023,New Place Market,1500,36420,150,
04/06/2023,New Place Market,1500,85140,200,
05/06/2023,New Place Market,1500,39940,200,
06/06/2023,New Place Market,1500,62640,150,5200
07/06/2023,New Place Market,1500,61360,200,
08/06/2023,New Place Market,1500,80490,150,
09/06/2023,New Place Market,1500,56240,200,
10/06/2023,New Place Market,1500,71950,100,4599
11/06/2023,New Place Market,1500,54510,200,
12/06/2023,New Place Market,1500,71450,150,
13/06/2023,New Place Market,1500,50500,150,
14/06/2023,New Place Market,1500,39950,100,5250
15/06/2023,New Place Market,1500,67700,200,
16/06/2023,New Place Market,1500,73900,200,
17/06/2023,New Place Market,1500,49660,200,
18/06/2023,New Place Market,1500,59540,150,
19/06/2023,New Place Market,1500,75400,150,6200
20/06/2023,New Place Market,1500,27720,100,
21/06/2023,New Place Market,1500,50900,200,
22/06/2023,New Place Market,1500,45860,200,
23/06/2023,New Place Market,1500,52010,100,599
24/06/2023,New Place Market,1500,49770,200,
25/06/2023,New Place Market,1500,86480,200,
26/06/2023,New Place Market,1500,59650,100,850
27/06/2023,New Place Market,1500,64640,250,
28/06/2023,New Place Market,1500,58750,100,
29/06/2023,New Place Market,1500,48610,200,550
30/06/2023,New Place Market,1500,32400,150,
01/06/2023,Cignal Main,1500,62600,150,
02/06/2023,Cignal Main,1500,66440,100,
03/06/2023,Cignal Main,1500,59600,150,
04/06/2023,Cignal Main,1500,44750,200,2000
05/06/2023,Cignal Main,1500,55700,200,
06/06/2023,Cignal Main,1500,56650,150,
07/06/2023,Cignal Main,1500,54500,200,
08/06/2023,Cignal Main,1500,49500,150,
09/06/2023,Cignal Main,1500,53620,200,
10/06/2023,Cignal Main,1500,32240,100,
11/06/2023,Cignal Main,1500,57900,200,5650
12/06/2023,Cignal Main,1500,73040,150,
13/06/2023,Cignal Main,1500,51360,150,
14/06/2023,Cignal Main,1500,36320,100,8500
15/06/2023,Cignal Main,1500,64850,200,
16/06/2023,Cignal Main,1500,51630,200,
17/06/2023,Cignal Main,1500,40040,200,599
18/06/2023,Cignal Main,1500,46950,150,
19/06/2023,Cignal Main,1500,55440,150,
20/06/2023,Cignal Main,1500,47600,100,
21/06/2023,Cignal Main,1500,37480,200,1300
22/06/2023,Cignal Main,1500,65820,200,
23/06/2023,Cignal Main,1500,28950,100,
24/06/2023,Cignal Main,1500,33250,200,2500
25/06/2023,Cignal Main,1500,33250,200,
26/06/2023,Cignal Main,1500,36160,100,
27/06/2023,Cignal Main,1500,53020,250,
28/06/2023,Cignal Main,1500,22420,100,8500
29/06/2023,Cignal Main,1500,23080,200,
30/06/2023,Cignal Main,1500,80540,150,
01/06/2023,Lei,1500,13780,150,
02/06/2023,Lei,1500,20980,100,2000
03/06/2023,Lei,1500,9310,150,
04/06/2023,Lei,1500,16810,200,
05/06/2023,Lei,1500,14270,200,
06/06/2023,Lei,1500,15370,150,
07/06/2023,Lei,1500,5400,200,
08/06/2023,Lei,1500,9730,150,
09/06/2023,Lei,1500,18920,200,
10/06/2023,Lei,1500,23420,100,
11/06/2023,Lei,1500,14370,200,
12/06/2023,Lei,1500,21170,150,5499
13/06/2023,Lei,1500,26220,150,
14/06/2023,Lei,1500,32450,100,
15/06/2023,Lei,1500,15340,200,
16/06/2023,Lei,1500,17020,200,
17/06/2023,Lei,1500,12430,200,
18/06/2023,Lei,1500,21650,150,800
19/06/2023,Lei,1500,9660,150,
20/06/2023,Lei,1500,14250,100,
21/06/2023,Lei,1500,2340,200,
22/06/2023,Lei,1500,9530,200,2000
23/06/2023,Lei,1500,14570,100,
24/06/2023,Lei,1500,20680,200,
25/06/2023,Lei,1500,15970,200,
26/06/2023,Lei,1500,15690,100,300
27/06/2023,Lei,1500,8080,250,
28/06/2023,Lei,1500,13500,100,
29/06/2023,Lei,1500,15870,200,
30/06/2023,Lei,1500,14560,150,950
01/06/2023,Silver,1500,10270,150,
02/06/2023,Silver,1500,8800,100,
03/06/2023,Silver,1500,19220,150,
04/06/2023,Silver,1500,14910,200,800
05/06/2023,Silver,1500,10660,200,
06/06/2023,Silver,1500,11190,150,
07/06/2023,Silver,1500,9460,200,
08/06/2023,Silver,1500,6570,150,
09/06/2023,Silver,1500,10310,200,1500
10/06/2023,Silver,1500,9400,100,
11/06/2023,Silver,1500,19320,200,2500
12/06/2023,Silver,1500,9750,150,
13/06/2023,Silver,1500,10300,150,
14/06/2023,Silver,1500,8770,100,
15/06/2023,Silver,1500,7520,200,1300
16/06/2023,Silver,1500,6690,200,
17/06/2023,Silver,1500,10150,200,
18/06/2023,Silver,1500,14130,150,
19/06/2023,Silver,1500,6490,150,
20/06/2023,Silver,1500,7440,100,899
21/06/2023,Silver,1500,9540,200,
22/06/2023,Silver,1500,8790,200,
23/06/2023,Silver,1500,9650,100,
24/06/2023,Silver,1500,13670,200,499
25/06/2023,Silver,1500,10400,200,
26/06/2023,Silver,1500,9310,100,
27/06/2023,Silver,1500,8350,250,
28/06/2023,Silver,1500,12290,100,699
29/06/2023,Silver,1500,8950,200,
30/06/2023,Silver,1500,10670,150,
